dataset,split,text,label,multilabel
b,test,"@user Mr. President, simply put, you got owned last night by @user He’s the better person, man and when he’s President, our country can regain its soul and truly tackle this COVID threat you have ignored for 9 months. #BidenHarris2020",0,
b,train,@user @user @user @user @user If Joe Biden is .00000000000000001 % better I will vote for him.,0,
b,train,@user Are you freaking crazy????[NEWLINE]I’d rather watch A Roto Rooter team clean out my sewers than more of #BronzeBoy spewing his endless lies and distortions. It’s the same old same old racist crap. America if you fall for this again you deserve what you get[NEWLINE]#VoteBlue2020,0,
b,train,"Undecided voters (and MAGATs alike);[NEWLINE]If you're worried about Joe sniffing hair, why aren't you worried about tRUmp grabbing someone's pu$$y?[NEWLINE][NEWLINE]If you're worried about Hunter, why aren't you worried about Ivanka?[NEWLINE][NEWLINE]If you're worried about Kamala, why aren't you worried about Mike?",0,
b,train,@user @user @user So as of right now President Trump is more likely to win then Biden I'm basing this off of likelihood I'm not saying who's going to win but President Trump is more likely to win[NEWLINE][NEWLINE]#trump2020 #keepAmericagreat #Trumpisthebestpresident,0,
b,train,"@user Nancy Pelosi and the Dems wont do a deal because it would make Trump look good. Forget those with hungry kids, car about to get repo’d, behind on their mortgage. They want a homeless population that will never vote against the hands that feeds them. It’s total control.",0,
b,train,"@user @user @user Looks like a duck, walks like a duck... #Trump2020 [NEWLINE][NEWLINE]https://t.co/X5IOFTM0Lw",0,
b,train,"@user @user We love him too!! The best President, President Trump🇺🇸♥️#Trump2020",0,
b,train,@user I don't have a 401k #bidenharris2020,0,
b,train,@user @user Omfg....THE MOST IRRESPONSIBLE CRETINOUS SELFISH ENTITY 9N THE PLANET...IS THE PRESIDENT!!!! #BidenHarris2020 GET HIM OUUUUUUTTTTTT,0,
b,train,"So, the NY Post writes an article about Biden family corruption. Twitter, Facebook censor it. Then the Biden campaign says the censorship itself ""made clear"" the story was bogus. Got that? Corrupt censorship validates the corruption. I'm back in the USSR.[NEWLINE]https://t.co/vwPulWxazr",0,
b,train,"@user No Way!   @user   F**K Trump  Wish him the best but you know what, he knew the risks and should have worn a mask.  #BidenHarris2020 #screwtrump...",1,
b,train,"Harris on voting rights: ‘He knows he can’t win if people vote. Donald Trump is weak so he’s throwing up every roadblock he can to suppress the vote, and we the people cannot let him get away with it.’ http",0,
b,train,"So my 77 year old mother stood in line 5 hours to vote in #Georgia today. As she stood there, an armed man wearing #Trump gear walked up and down the line with a gun in his holster, presumably to scare. This is not voter supression, its Voter intimidation [NEWLINE]#ThisIsAmerica",0,
b,train,Do u want a Dem monarchy? Joe Biden Declares Voters ‘Don’t Deserve’ to Know His Position on Court Packing http,0,
b,train,To the new stewards of the highest elected offices... Congrats Joe &amp; Kamala #BidenHarris2020,0,
b,train,I don’t know how democrats aren’t embarrassed to have Joe Biden &amp; Kamala Harris as their candidates[NEWLINE][NEWLINE]They must be counting on a Marxist government in the future that will destroy all the evidence of these complete sham candidates &amp; the manipulation of the narrative by the Media,0,
b,train,I see Trump is trying to buy my vote with these tax cuts and now sending $200 to all the seniors dam it worked I’m voting for Trump #Trump2020,0,
b,train,"@user just delivered an amazing speech! 👍 For the first time in 4 years, especially 2020, I feel comforted. I feel assured that someone competent is speaking to me from our Gov't. Someone who has logical plans to fix our economy! [NEWLINE][NEWLINE]#BidenHarris2020 [NEWLINE]#KeepBidenSafe [NEWLINE]#VOTE http",0,
b,train,@user 😁 You'll be fine. Joe and Kamala are basically Republicans anyway. And Trump's...well Putin's bitch. Glad you're good ❤😜,1,
b,train,Biden and Harris would allow a baby to be aborted 5 minutes before birth! They are RADICAL and will push for policies that will destroy America. Vote today to protect the lives of millions of unborn children in our nation.[NEWLINE][NEWLINE]https://t.co/HaGw8OiJEp,0,
b,train,My client who died of #COVID19 didn't feel 20 years younger. [NEWLINE][NEWLINE]#TrumpCovid19 [NEWLINE]#COVIDIOT [NEWLINE]#WhiteHouseVirus [NEWLINE]#BidenHarris2020,1,
b,train,@user Big mad! You're a Christian but hate Joe Biden and Kamala Harris....right! Lol,0,
b,train,"To obama trump didn,'t know there was a covid 19 the china didn't think alert the world of a virus that was deadly. I didn't even know it was coming out even though I do plan things to help those who want too die there are only so many ways",0,
b,train,#HawaiiForTrump[NEWLINE][NEWLINE]I'd like to thank #BLM[NEWLINE]and #BidenHarris2020[NEWLINE]for showing up to our Trump rally.[NEWLINE]Does anyone know who these ladies are? http,0,
b,train,"#Trump2020, #BernieBros, #fakegressives &amp; their #Russian Troll friends are trying to steal #Election2020! Make a plan  now to #VoteByMail, #EarlyVote or on #ElectionDay Nov 3rd for #BidenHarris2020! Together, we can #FlipTheSenate &amp; restore the soul of our #nation!",0,
b,train,@user 😂😂😂😂 you’re just way too much and you’re going to spent the rest of your life in prison!! #gitmo #trump2020,0,
b,train,@user God be with us! #Trump2020,0,
b,train,@user The debates will help? Trump? ROFL that orange moron thinks he can wing it. His downfall is that he's believing his own fake propaganda. I look forward to him making a complete ass of himself as he tries to lie his way through the debates. [NEWLINE]#VoteBlue2020 [NEWLINE]#Vote [NEWLINE]#BidenHarris2020,1,
b,train,@user Happy birthday 🎂💐🎉 know that you're as bright and as brilliant as the candles on your cake 💖 #VoteBlue2020 #HappyBirthday from a stranger since your fam is acting like tRump - #DumpTrump,0,
b,train,@user Looks like the US DOJ is writing scripts for the Russian GRU troll farms. #VoteBlueToEndThisNightmare #BidenHarris2020,0,
b,train,"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user #drellenbrandt #MAGA2020 ""FOFO Ratio"" It's Elitist and harmful to have a Followers vs Following system at Twitter or anywhere else. There should be no such system, just full two-way Connections between Internet users. 📣🇺🇸📣🇺🇸📣 http",0,
b,train,#vote #Debates2020 ⁦@jaketapper⁩ ⁦@romyreiner⁩  #BidenHarris2020 ⁦⁦@jimmykimmel⁩  #freedomatstake #GodHelpUS Think of the debate as a public park. The president was polluting it. http,0,
b,train,"Democrats abhor school choice, lower taxes, and want larger public programs.[NEWLINE][NEWLINE]What it means is they want you dumb, without money, and fed handouts like baby birds.[NEWLINE][NEWLINE]They don't want you to take care of you, that's their job.[NEWLINE][NEWLINE]#Election2020 #vote #Trump2020 #BidenHarris2020",0,
b,train,"@user 2/In order to stop Biden and Kamala from waging war on Black men again, we need Black women such as yourself to keep them out of the White House by not voting. [NEWLINE][NEWLINE]Thanks for sympathizing with the Black man's plight.",0,
b,train,WOW! NYT Calls on Tech Giants to Censor Trump and His Supporters on Election Night http via @user [NEWLINE]Where do this people think they live⁉️🤬 #Trump2020 🇺🇸,0,
b,train,@user Only people ruining this country are Democrats. Not Trump's base doing the riots and burning businesses and acting like real fascists while waving communist flags. Democrats literally want to tear this country down and be an authoritative regime and they aren't even hiding it.,0,
b,train,Trump and his camp is making a mockery of CoVid.[NEWLINE][NEWLINE]220K have died in this country along with nearly 8 million infections.[NEWLINE][NEWLINE]This is not a game or a joke.[NEWLINE][NEWLINE]#BidenHarris2020 [NEWLINE]#TrumpFakedCovid,0,
b,train,"Plot that brought would-be assassin to Biden's home revealed, as list of violent threats grows http [NEWLINE]Someone, please, bring #BillBarr up to date on who the REAL CRIMINALS are.",0,
b,train,Someone yelled “go home pilgrims” at Trump supporters on Mooney. http,0,
b,train,It’s only going to get worse[NEWLINE]Pay attention Catholics [NEWLINE][NEWLINE]#RememberinNovember [NEWLINE]#FoxAndFriends  #MAGA #Ccot #ACB [NEWLINE]#Trump2020 #KAG #KAG2020 [NEWLINE]#SaturdayMorning #SaturdayThoughts [NEWLINE]#COVID19[NEWLINE][NEWLINE] http,0,
b,train,"@user @user Unless she’s suffering with severe menstrual cramps, she’s lost her f’ing mind. That’s what #TDS does to weak minds. #Trump2020 #Trump2020Landslide http",1,
b,train,"We like presidents that aren’t incompetent, don’t lie, don’t promote hate, are not corrupt and treasonous. #TrumpLiedAmericansDied #TrumpIsANationalDisgrace #BidenHarris2020  http",1,
b,train,Police for Trump have arrived. #Trump2020 #BackTheBlue #MAGA2020 #MAGA #Peacefulprotest #TrumpRally http,0,
b,train,Just listened to #BidenHarris2020 call with @user @user @user &amp; I will #VOTE also requested a yard sign for my local candidate @user @user | Check http to ensure you can exercise your right! #VoteBidenHarris2020 #VoteEarly,0,
b,train,"The intolerant left supporting #Biden are responsible for daily violence around the country, defunding the police and now 100 days of #Riots2020 in Portland.[NEWLINE][NEWLINE]#VoteRED2020RemoveEveryDemocrat #LawAndOrder #DefendPolice #MAGA #Trump2020 http",0,
b,train,Joe Biden DID say SUPER PREDATORS! http,0,
b,train,"I am lovin’ all these speeches of TRUTH. Joe, Barack, Kamala, THE GOOD GUYS. The JEDI KNIGHTS! [NEWLINE][NEWLINE]Defeat the TWITTER TROLL TRUMP occupying the White House and save us all from his toxic bile. Block him with a vote for Biden-Harris. http",0,
b,train,@user @user @user 👋 My first vote was for Reagan. @user is no Republican. #Biden2020,0,
b,train,Amen President Trump.  We will Never Live Our Lives In Fear!!! #TrumpCovid19 #Trump2020 @user http,0,
b,train,@user Oh please...he's just upset that zoom has a mute button. [NEWLINE][NEWLINE]Crybaby Trump,1,
b,train,@user @user I know I agree entirely. He said greatest president and i wanted to know why.,0,
b,train,"@user First, you did not win the debate. You were unhinged, disrespectful &amp; a clown. Second, go ahead, cop out, you will be doing us all a big favor. November 3rd cannot come fast enough! #BidenHarris2020",0,
b,train,Joe Biden is an Imbecile. He doesn’t deserve to be President. We all know what happens if he wins. He will be found incompetent to serve. Kamala Harris will become President. Nancy Pelosi (if the dems retain the house) will be Vice President. And this country will go to hell.,1,
b,train,#TrumpTaxReturns THIS IS SOME BULLSHIT! #VoteBidenHarris2020 #VoteBlue2020 http,1,
b,train,"Looks like that even CNN has grown tired of ""No Answer Biden"". Cannot get a square answer even from his spokes people on ""Packing The Court"". Time has come one would hope that these Liberals will not from their hatred for Trump ""Give Up America"". Lose something never to recover.",0,
b,train,@user @user I’m raising my glass of bubbly in toast to our newly elected President and Vice  President. Congrats Joe Biden and Kamala Harris!!! [NEWLINE]💙🍾🥂🇺🇸 http,0,
b,train,"@user So Joe Biden and Kamala Harris were not on the bus, but it was part of the campaign. This is why Congress needs to declare war against any foreign or domestic interference upon our elections.",0,
b,train,Forget about that “lack of enthusiasm” BS. 👇🏻👇🏻👇🏻👇🏻👇🏻[NEWLINE]#BidenHarris2020 http,1,
b,train,"Hey @user when you are president, will u nominate @user to the Supreme Court? I think that would be amazing. #supremecourt #BidenHarris2020",0,
b,train,"I wonder how many babies were made last night? And all of them will be Jo, Joe, Joey, Kamala. 🤷🏻‍♀️ #ElectionResults2020 #BidenHarris2020 http",0,
b,train,@user @user @user I WILL VOTE IN PERSONFOR PRESIDENT TRUMP NOT FOR IGNORANT JOE DUHHH AND LAUGHING KAMALA NOT AFRICAN AMERICAN SHES A LIAR TOO,0,
b,train,"The difference between the economic plans of Joe Biden &amp; Trump are stark [NEWLINE][NEWLINE]1. Biden wants to rebuild America , understands creating jobs through infrastructure building is key &amp; that the Govt has to do the heavy lifting [NEWLINE][NEWLINE]2. #TrumpHasNoPlan [NEWLINE][NEWLINE]#VoteBlue[NEWLINE]#wtpBiden[NEWLINE]#wtpBlue [NEWLINE]#ONEV1 http",0,
b,train,"""Hi, I'm just calling to let you know that Joe Biden and Kamala Harris will throw you in prison if you own guns they don't like. Or if you do drugs. And they'll keep the wars going. But they're nicer on Twitter, so there's that."" http",0,
b,train,The murky waters are clearing. We can see the Chinese Communist Government is the radical lefts dream. Throw in a little US Secret Neuro Wepons for the Conservatives. DREAM COMPLETE #MAGA2020 F them up.,1,
b,train,"Time to move on and focus on the debt, the tax fraud, the lies and follow the money. Who does Trump owe $420MM to? Why won’t Trump condemn Putin ever?[NEWLINE]#TrumpHasNoPlan #TrumpLies #TrumpTaxFraud #TrumpVirusCatastrophe #DumpTrump2020 #VOTE #BidenHarris2020 http",0,
b,train,84/ Increase funding for the Minority Business Development Agency budget[NEWLINE][NEWLINE]85/ Make sure economic relief because of #COVID19 reaches #BlackBusiness that need it most[NEWLINE][NEWLINE]86/ Reserve half of all the new #PPP funds for #SmallBusinesses with 50 employees or less[NEWLINE][NEWLINE]#BidenHarris2020 http,0,
b,train,@user Yay! Voted today! #BidenHarris2020,0,
b,train,JUST GOT MY BALLOT and I can't friggen wait to #EndthisNightmare by voting #BidenHarris2020. For our country. For the planet. For ALL the people!,0,
b,train,🚨🚨🚨🚨🚨🚨🚨[NEWLINE]OMG OMG OMG OMG OMG! [NEWLINE][NEWLINE]I just spotted the first #BidenHarris2020 yard sign in my street.[NEWLINE][NEWLINE]My street is a mile and a half and I live at the end of it.[NEWLINE][NEWLINE]Now there’s Two Biden/Harris signs amongst sea of the other guys signs.[NEWLINE][NEWLINE]OMG OMG OMG OMG OMG![NEWLINE]🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨,0,
b,train,"@user His comments about service persons kissing Hicks were creepy and inappropriate.  He, however, could have been telegraphing a truth inasmuch Trump and Hicks allegedly were very close, and he very well may have been the kissing bandit in question.  #BidenHarris2020",0,
b,train,"First ICE in TX, now ICE in GA accused of performing unwanted/unauthorized ""medical procedures"" on immigrant women.[NEWLINE]Why do we say #BlackLivesMatter? Because ALL lives WILL matter when Black lives matter.[NEWLINE]Joe Biden is a decent man. He will put a stop to this! #CountOnUs #Biden2020 http",0,
b,train,If i ever said i’m from staten island... no i didn’t #BidenHarris2020 #COVIDIOTS http,1,
b,train,"@user Teachers 100% deserve to be paid more than they are, drug abusers do not belong in prison, and the student loan crisis needs to be addressed. However, Kamala Harris bragged about her mass incarceration towards marijuana users, and Joe Biden has never been for the LGBTQ+ community",0,
b,train,#Trump2020 [NEWLINE][NEWLINE]My state isn't allowing in person voting this year.... This is appalling.,0,
b,train,"@user @user so when joe steps down due to “health” kamala is pres &amp; she chooses hillary as VP, kamala succumbs to “covid” hillary president dec 2021!!!! @user",0,
b,train,#BallotHarvesting[NEWLINE]#Maine[NEWLINE]#Ruling[NEWLINE]#Texas[NEWLINE]#Winning[NEWLINE]#Trump2020 [NEWLINE]TWO HUGE COURT RULINGS for GOP! [NEWLINE]Maine Blocks Illegal Democrat Ballot Harvesting – Texas Blocks Straight Party Ballot Option[NEWLINE]https://t.co/NILaKDk5M9,0,
b,train,@user @user @user Impeachment hoax? Stop it. The man deserved that impeachment and many others. Recounts have never overturned anything. It is President Joe Biden and Vice President Kamala Harris. #freeatlast #GetOutTrump #duecestrump,0,
b,train,Joe Biden just got a huge slap in the face by this black celebrity dropping a truth bomb http,0,
b,train,Joe Biden and Kamala hoarse have cede time and time again that they wand to BAN fracking. [NEWLINE] Check it out for yourself: [NEWLINE]Original tweet from @user,0,
b,train,33 million unemployed? Each of those 33 million should be sending Covita an eviction notice. #BidenHarris2020 #VoteHimOut,0,
b,train,@user @user @user The most important thing to me was the love &amp; support he showed for his son Hunter. #addiction is a game changer &amp; no one should ever be allowed to mock a person in recovery. My mind was made up before the debate but now I’m convinced #BidenHarris2020 is the answer 💙🇺🇸🗳,0,
b,train,"NEW VIDEO: ""If Donald Trump is re-elected, all the progress we've made will be in jeopardy. The future of our Democracy is at stake. The future of our economy is at stake. The future of our planet is at stake. We must come together to defeat Trump &amp; elect Biden."" #ListenToBernie http",0,
b,train,Change is Coming If You VOTE | Joe Biden and Kamala Harris 2020 http via @user change to be made and Trump needs to go,0,
b,train,@user @user @user @user Simpson's has become a Taboo these days for #Trump2020,0,
b,train,@user With malice toward none; with charity for all. This can be the UNITED States of American #BidenHarris2020,0,
b,train,@user @user Joe Biden does not have the strength or the mental capacity to campaign how is it going to run this country Kamala Harris will take over and do you want her as your next president ask yourself that question,0,
b,train,"@user @user No, you mean you have Harris’ back!",0,
b,train,"@user @user Not gonna happen. The Senate will do what they can, and are allowed to do, to confirm. Too bad so sad. Besides, why delay the inevitable... #TRUMP2020.",0,
b,train,James Corden Parodies Trump’s Coronavirus Diagnosis With ‘Maybe I’m Immune’ Song http via @user,0,
b,train,"“Ben Crump, a lawyer for the family, wrote on Twitter that the failure to charge any officer for killing Ms. Taylor was ‘outrageous and offensive.’”[NEWLINE]#PoliceBrutality #BreonnaTaylor #MurderUnderColorOfLaw  #BidenHarris2020 #VoteBlue2020  http",0,
b,train,"POTUS  is at work while hospitalized, fighting🥊 for Americans #UnitedWeStand #DividedWeFall  Will Congress get it done? 🤔 #Trump2020 #MAGA2020 http http",0,
b,train,Got my #Trump2020 swag in today!!!!!! So excited! http,0,
b,train,Ballot Marked Joe Biden Kamala Harris Join Us Vote Women are on the Ballot http,0,
b,train,"@user Love all these race baiters.  YOU are the problem with this country.  Slow Joe the racist of all racists is not only a race baiter, he is the master baiter of all the race baiters.  #TRUMP2020 #PENCE2024 #PENCE2028.",0,
b,train,@user STOP LYING! YOU are just saying this crap 2get re-elected again😡😡😡 . Your time is UP!! Hit the door&amp; get steppin! Biden will be our honorable great new President!! His middle toe has MORE decency than your whole EXISTENCE! #VOTETRUMPOUT #BidenHarris2020 #joebiden #kamalaharris,0,
b,train,I love what this priest has to say.       WATCH: Courageous Priest Speaks The TRUTH About Joe Biden and Kamala Harris http,0,
b,train,@user @user And your point? You wouldn't have been able to stop it either #Trump2020,0,
b,train,"@user @user @user @user @user @user So, what do you think Trump fixed about this law?",0,
b,train,Voted today! Please find the time and vote. #vote #BidenHarris2020 http,0,
b,train,#LyingBiden busted again #BidenHarris2020 http,0,
b,train,@user Come for the fascism and stay for the coronavirus. Please if you are a Trump voter in Florida come on out to his rally. I hope that you get sick enough to not be able to make it to vote on election day,0,
b,train,"@user My girlfriend has difficulty walking and standing, due to MS. She found the strength to stand in line for almost an hour to cast her vote for Joe Biden and Kamala Harris yesterday. #bluewave",0,
b,train,We are the strongest nation under God what is the strength we should show its love so we should have for our Allies we must believe and show them that the world wants peace any only way we can get that he is by voting for Joe Biden and Kamala Harris they will make a difference,0,
b,train,"Ok, here's a better one. I trimmed up the bushes (no trimming while tweeting, dat's dangerous) &amp; swept the porch. #BidenHarris2020 #VPDebate2020 http http",0,
b,train,@user @user Wow and wow. Your cousin's daughter will be in the box seat watching as Kamala Harris (😍) and Joe Biden take America with them back to a great place of respect.[NEWLINE][NEWLINE]Congrats.,0,
b,train,@user was talking soo much shit that there were literally flys over him 👽,1,
b,train,Lavish spending sprees by the Biden's using a chinese credit card. Multiple flights to china with suspicious timing. Millions taken from Russians. Business dealings w the Chinese communists. You really want to vote #Biden2020 for more of this!?[NEWLINE][NEWLINE]#Trump2020 #MAGA[NEWLINE]🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,0,
b,train,@user The reality on YOUR ground is different than the reality on everyone else’s ground! #MAGA2020,0,
b,train,"Remember Patriots ""The only thing necessary for the triumph of evil is for good men and women to do nothing."" [NEWLINE]We need to stand by our president @user and march head high to the finish line! We will prevail!!! #MAGA2020 #Trump2020 #TrumpTrain2020 #DrainTheSwamp",0,
b,train,Any of my fellow Patriots or Warcraft players ever just feel like knocking back a cold one? I'm not much of a drinker - but it's nice being able to knock one back... just because you can. No restrictions. That's what being free is all about. #Shadowlands #Trump2020 http,0,
b,train,Joe Biden just went to cast his vote. I bet he voted for Trump.,0,
b,train,"Writing postcards to send out this week. #voteblue2020 @ Gilbert, Arizona http",0,
b,train,anarcha “kamala harris did a good thing for trans people once so that means we should ignore misincarcerating trans women” has some interesting takes on “convincing joe biden of m4a” http,1,
b,train,"@user We were able to try it before they changed it to Joe Biden! Well, it’s really obvious that Kamala is their president anyway.",0,
b,train,"We need to invest in K-12 education, raise teacher pay, and provide student loan relief to end the cycle of poverty in this nation.[NEWLINE][NEWLINE]@ColMorrisDavis is committed to invest in that future.[NEWLINE][NEWLINE]#NC11 #DemCastNC #NorthCarolina[NEWLINE]#ProtectPublicEducation #VoteBlue2020 http",0,
b,train,@user No. And if his whiny baby voice wasn't mixed in with yours I'd make your epic shut up man my ring tone. Go Joe! #bidenharris2020,0,
b,train,"Everyone and I will getting to you all of these blue team Dwill win Joe Biden and Kamala Harris. United States of American, then last USA want on the world map.",0,
b,train,"Scoop--DNI Ratcliffe strayed from his prepared remarks last week to say publicly that Iran's spoof emails intimidating Dems were aimed at ""damaging President Trump,"" blindsiding FBI Director Wray and CISA Director Chris Krebs who were standing behind him. http",0,
b,train,"Jeezus, I genuinely cringe every time I hear #Antifa referred to as a 'Far Left' movement, whoever is saying it...[NEWLINE]#TrumpMeltdown #ProudBoys #kkk #MAGA2020 #VoteBlue2020",0,
b,train,Thank you President Obama ☺. We need Joe Biden and Kamala Harris in the White House. They will fight for our healthcare. http,0,
b,train,"@user @user @user So, back to my original tweet, thank goodness I saw the debate the other night and know NOT to vote for that job-killing anti fracking, oil hating, Joe Biden. I was blinded by Kamala by trump made me see. And Joe is still a racist. http",0,
b,train,@user @user @user But those are all going bye bye under President Kamala ☹️,0,
b,train,"#blm[NEWLINE]#DefundThePolice [NEWLINE]#maga[NEWLINE]#Trump2020 [NEWLINE]@mad_liberals [NEWLINE]My contributions to the meme universe, how do you spell HYPOCRISY http",0,
b,train,By FAR! #BidenHarris2020 http,0,
b,train,"This elect the 🌹 Twitter lie that if we don't go along with then we a bad people is: that Trump refuses to condemn racists, even though he has mult times. Even if we post vid of he constantly doing it they are still goin 2 doubledown. #TrumpIsARacist #Trump2020 #Trump",0,
b,train,"@user Some ppl eventually see the #Truth &amp; fight for #civilrights for ALL. Until then, most are hypocrites &amp; indecent ppl. Selfish. #VotesDOmatter We must join together for the betterment of ALL!!! [NEWLINE][NEWLINE]#VOTE [NEWLINE]#VoteEarly [NEWLINE]#VoteBlueToSaveAmerica [NEWLINE]#BidenHarris2020 http",0,
b,train,@user Except it isn’t private. #BidenHarris2020 #BidenforAmerica,0,
b,train,Replaced with a classic until my flags arrive.[NEWLINE]#MAGA2020 @user http http,0,
b,train,Let's not let last night's announcement distract: [NEWLINE][NEWLINE]- no complacency...remember we face [NEWLINE]1. voter suppression[NEWLINE]2. misinformation campaign[NEWLINE]3. foreign influence[NEWLINE]4. massive unemployment[NEWLINE]5. still no COVID strategy [NEWLINE][NEWLINE]#RegisterDonateVolunteerVote*[NEWLINE][NEWLINE]#HaveAPlanToVote*[NEWLINE][NEWLINE]#BidenHarris2020 http,0,
b,train,"@user followed back, let's stick together for our great president Trump #Trump2020",0,
b,train,"@user @user @user Sorry that happened to you. No respect - however, if you so much as look at one of these liberals wrong they swear you physically assaulted them. Keep the faith and thank you for supporting Donald J. Trump. #TRUMP2020",0,
b,train,"@user All the polls are skewed towards @user The only poll that matters will be conducted November 3, 2020.[NEWLINE][NEWLINE]#DrainTheSwamp [NEWLINE]#Trump2020 [NEWLINE]#MAGA",0,
b,train,@user @user Love your Putin quote lol #PutinsPuppy #BidenHarris2020,1,
b,train,I don’t know who is making Biden’s ads but they are remarkable http,0,
b,train,@user @user Praise be to God! We love you and will co@ti he to pray and support you and our @user #Trump2020 #CubanosconTrump #MiamiconTrump #LatinosForTrump #MAGA,0,
b,train,And would AMERICA be shocked ? The DEMOCRAPS are shady people looking out for THEMSELVES  #TRUMP2020 #THEGLOVESROFF #DRAINTHESWAMP http,1,
b,train,"It's ""Choose Your Own Kamala"" Friday![NEWLINE][NEWLINE]Which one is yours? #MVPHarris #BidenHarris2020 http",0,
b,train,How Trump supporters think the law works:[NEWLINE][NEWLINE]Judge: You have committed many terrible crimes.[NEWLINE]Trump: Hillary had an email server.[NEWLINE]Judge: I see. You're free to go.[NEWLINE]#TrumpCrimeFamily,1,
b,train,@user You mean 50 million DEMONCRATIC VOTERS[NEWLINE]#DrainTheSwamp [NEWLINE]#TRUMP2020 #BuildTheWall[NEWLINE]#SCAMDEMIC [NEWLINE]😎🇺🇸💪,1,
b,train,@user @user He is a decent man. He’s not a fool. He has a kind heart and the right amount of shrewdness. [NEWLINE][NEWLINE]Joe Biden is a bridge. He gave Obama stability and now he gives Kamala a path. There’s a strong chance he’ll be seen this way by history.,0,
b,train,"@user A Joe Biden and Kamala Harris admin should add a US Gov National Election office to #DHS with US Gov funded, directed Vote by Mail to all US States with standardized forms, times, ballots and procedures. @user @user @user @user @user http",0,
b,train,Constitution: [NEWLINE]+Separation of powers[NEWLINE]+Separation of Church and State[NEWLINE][NEWLINE]GOP:[NEWLINE]-Separation of races[NEWLINE]-Separation of families[NEWLINE][NEWLINE]#FlipTheSenateBlue #BidenHarris2020,0,
b,train,"THIS JUST HAPPENED IN DOWNTOWN WACO, TEXAS. A #BidenHarris2020 parade! #VoteBlue2020 #Texas http",0,
b,train,Now I lay me down to sleep [NEWLINE]I pray the Lord my soul to keep[NEWLINE]If I should die before I wake[NEWLINE]I’ll go knowing I have already cast my ballot [NEWLINE]For Joe Biden[NEWLINE]And Kamala Harris http,0,
b,train,@user @user Both debates were so biased. Wallace was rediculous. Page was quick to stop Pence from talking but let Harris go on and on. More Questions were aimed against Trump.,0,
b,train,You dont stop the counting. Keep counting hell with trump #TrustTheProcess let's go Nevada get these drinks out the bars and count time to roll a 6 for joe and Kamala Harris,0,
b,train,"TRUMP:  As President, I will always stand with the heroes of LAW ENFORCEMENT! [NEWLINE][NEWLINE]#BackTheBlue [NEWLINE]#BlueLIVESMatter [NEWLINE]#Trump2020",0,
b,train,"What if Joe wins, &amp; then like Princess Diana something happens to him &amp; then Kamala Harris becomes the first Black Lady President, the system is broke not the people. Come together save all, save America, stronger together. 1 nation under God, come together.",0,
b,train,i never thought biden’s son looked cool in any of those pictures so many of you were orgasming over. he just looked like a rich rapist and i was right,1,
b,train,Dr. Sean Conley made sure the stock market is satisfied. That's all we just saw. The Trump-branded #ToxicPositivity of everything is a huge red flag. We deserve the truth. #VOTE #BidenHarris2020 #COVIDー19,0,
b,train,"@user @user @user Inflated numbers [NEWLINE]Democrats are the ones claiming them [NEWLINE]Since muh impeachment failed, they’ve been using the virus to try to destroy POTUS’ #AmericaFirst #winning. When that failed, out came the riots &amp; looting [NEWLINE]#DemocratsAreCorrupt #WalkAway #VoteDemsOut #VoteRed #Trump2020 http",0,
b,train,#JoeKnowsHow that's why I'm voting #BidenHarris2020 http,0,
b,train,"@user What you are doing, in an attempt to weaken US democracy, just proves to those of us who voted for Joe Biden, Kamala Harris, and Democrats down the ballot, that we did exactly the right thing for this country. And we won't forget in January, mid-terms, or in 2024. No chance!",0,
b,train,"Kamala Harris laughing incredulously as Pence twists her words, insults Biden, interrupts her, and outright lies is every woman who has had to laugh to keep her cool in the face male colleagues doing the same thing.",0,
b,train,THAT’S IT! I want @user to moderate the next #Debates2020 [NEWLINE]#MAGA #Trump2020 [NEWLINE][NEWLINE] http,0,
b,train,Trump’s defeat of Covid even impressed Chuck Norris!  #MAGA2020 #TrumpLandslide2020,0,
b,train,"@user @user you are a warrior, and #ChrisWallace did a shit job. #Biden still nothing. Crickets....#FourMoreYears #Trump2020",0,
b,train,@user good luck tonight Mr. President!! #Trump2020,0,
b,train,"@user Trump is the DECEIVER.  His supporters are in a TRANCE. Thousands have died and it does not matter to them. They are like zombies that blindly follow Trumps bellowing. Only Joe, Jill and Kamala can break this spell. With the consistant help of Barack+Michelle Obama.[NEWLINE]🙏🙏🙏💖",0,
b,train,President Trump physician says he anticipates Trump will be able to return to public engagements on Saturday,0,
b,train,@user Trump doesn’t get it. Never will.,0,
b,train,@user If you have to explain...You lost. Happened after 2016 with the popular vote. Happened 2018 when house got flipped. Happening now. And we will make it happen again Nov 3rd. #BidenHarris2020 #BlueWaveDownBallot,0,
b,train,"Biden leads Trump by 6 points in Michigan and Nevada, race tied in Iowa: poll http http",0,
b,train,"On Thursday, January 21, 2021, Democrats will employ the #25thAmendment to remove Joe Biden from power and make way for President Kamala Harris.[NEWLINE][NEWLINE]Republicans will counter by insisting that Joe is sharp as a tack.",0,
